Año,Mes,Cuántas personas viven en la vivienda?,Es vivienda o punto fijo?,Provincia,Municipio,Urbano o Rural?,Sector /Vereda,Perros totales,Machos (dogs),Hembras (dogs),Esterilizados (dogs),Sin esterilizar (dogs),Vacunados (dogs),Sin vacunar (dogs),Gatos totales,Machos (cats),Hembras (cats),Esterilizados (cats),Sin esterilizar (cats),Vacunados (cats)
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,10,6,4,4,6,10,0,6,3,3,4,2,6
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,16,6,10,9,7,16,0,3,1,2,3,0,3
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,5,1,4,3,2,5,0,8,4,4,5,3,8
2024,abril,4,Vivienda,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,2,2,0,2,0,2
2024,abril,2,Vivienda,sabana_centro,Chia,Urbano,Centro,4,3,1,2,2,4,0,2,1,1,2,0,2
2024,abril,7,Vivienda,sabana_centro,Chia,Rural,La Balsa,3,2,1,3,0,3,0,1,1,0,1,0,1
2024,abril,4,Vivienda,sabana_centro,Chia,Rural,La Balsa,0,0,0,0,0,0,0,2,1,1,2,0,2
2024,abril,2,Vivienda,sabana_centro,Chia,Rural,La Balsa,1,0,1,1,0,1,0,2,1,1,2,0,2
2024,abril,4,Vivienda,sabana_centro,Chia,Rural,Cerca de pedra,1,1,0,0,1,1,0,0,0,0,0,0,0
2024,abril,4,Vivienda,sabana_centro,Chia,Rural,Cerca de pedra,5,2,3,4,1,5,0,3,3,0,1,2,3
2024,abril,3,Vivienda,sabana_centro,Chia,Rural,Cerca de pedra,2,1,1,2,0,2,0,0,0,0,0,0,0
2024,abril,3,Vivienda,sabana_centro,Chia,Rural,Cerca de pedra,1,1,0,1,0,1,0,1,1,0,0,1,1
2024,abril,2,Vivienda,sabana_centro,Chia,Rural,Cerca de pedra,0,0,0,0,0,0,0,3,2,1,3,0,3
2024,abril,2,Vivienda,sabana_centro,Chia,Rural,Cerca de pedra,0,0,0,0,0,0,0,2,2,0,2,0,2
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Centro,1,1,0,0,1,1,0,1,0,1,1,0,1
2024,abril,5,Vivienda,sabana_centro,Chia,Urbano,Centro,1,1,0,1,0,1,0,0,0,0,0,0,0
2024,abril,6,Vivienda,sabana_centro,Chia,Urbano,Centro,1,1,0,0,1,1,0,0,0,0,0,0,0
2024,abril,4,Vivienda,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,0,1,1,0,1
2024,abril,5,Vivienda,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,0,1,1,0,1
2024,abril,4,Vivienda,sabana_centro,Chia,Rural,La Balsa,1,1,0,0,1,1,0,0,0,0,0,0,0
2024,abril,3,Vivienda,sabana_centro,Chia,Rural,La Balsa,5,3,2,1,4,5,0,0,0,0,0,0,0
2024,abril,3,Vivienda,sabana_centro,Chia,Rural,Centro,1,1,0,1,0,1,0,0,0,0,0,0,0
2024,abril,2,Vivienda,sabana_centro,Chia,Rural,tiqueza,7,3,4,5,2,7,0,0,0,0,0,0,0
2024,abril,2,Vivienda,sabana_centro,Chia,Rural,fagua,8,4,4,4,4,8,0,4,1,3,3,1,4
2024,abril,5,Vivienda,sabana_centro,Chia,Rural,fagua,21,12,9,9,12,21,0,7,3,4,3,4,7
2024,abril,4,Vivienda,sabana_centro,Chia,Rural,Otro,1,0,1,1,0,1,0,9,6,3,8,1,9
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,1,0,1,1,0,1,0,1,0,1,1,0,1
2024,abril,2,Punto,sabana_centro,Chia,Urbano,fagua,0,0,0,0,0,0,0,1,1,0,1,0,1
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,1,0,1,1,0,1,0,0,0,0,0,0,0
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Otro,20,6,14,9,11,20,0,1,0,1,1,0,1
2024,abril,2,Vivienda,sabana_centro,Chia,Rural,fagua,26,9,17,19,7,26,0,4,1,3,4,0,4
2024,abril,6,Vivienda,sabana_centro,Chia,Rural,fagua,11,3,8,10,1,11,0,5,2,3,4,1,5
2024,abril,3,Punto,sabana_centro,Chia,Rural,Fonqueta,10,3,7,3,7,10,0,5,2,3,2,3,5
2024,abril,2,Punto,sabana_centro,Chia,Rural,Fonqueta,9,5,4,5,4,9,0,6,2,4,4,2,6
2024,abril,2,Punto,sabana_centro,Chia,Urbano,fagua,0,0,0,0,0,0,0,1,0,1,1,0,1
2024,abril,4,Vivienda,sabana_centro,Chia,Urbano,Centro,2,1,1,1,1,2,0,1,0,1,1,0,1
2024,abril,2,Punto,sabana_centro,Chia,Rural,Fonqueta,7,6,1,3,4,7,0,8,1,7,6,2,8
2024,abril,2,Vivienda,sabana_centro,Chia,Urbano,Centro,1,0,1,1,0,1,0,3,1,2,3,0,3
2024,abril,2,Punto,sabana_centro,Chia,Rural,Fonqueta,7,2,5,5,2,7,0,8,4,4,7,1,8
2024,abril,3,Punto,sabana_centro,Chia,Rural,Fonqueta,12,4,8,10,2,12,0,3,1,2,3,0,3
2024,abril,4,Vivienda,sabana_centro,Chia,Rural,Samaria,1,0,1,1,0,1,0,0,0,0,0,0,0
2024,abril,2,Vivienda,sabana_centro,Chia,Urbano,Samaria,1,0,1,1,0,1,0,0,0,0,0,0,0
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,2,1,1,2,0,2,0,0,0,0,0,0,0
2024,abril,2,Punto,sabana_centro,Chia,Rural,Fonqueta,8,4,4,7,1,8,0,7,4,3,6,1,7
2024,abril,2,Punto,sabana_centro,Chia,Rural,Fonqueta,10,4,6,5,5,10,0,5,2,3,3,2,5
2024,abril,3,Vivienda,sabana_centro,Chia,Rural,La Balsa,2,1,1,1,1,2,0,1,1,0,1,0,1
2024,abril,6,Vivienda,sabana_centro,Chia,Rural,La Balsa,1,1,0,0,1,1,0,0,0,0,0,0,0
2024,abril,5,Vivienda,sabana_centro,Chia,Rural,La Balsa,2,2,0,0,2,2,0,2,0,2,1,1,2
2024,abril,4,Vivienda,sabana_centro,Chia,Rural,La Balsa,1,1,0,0,1,1,0,0,0,0,0,0,0
2024,abril,4,Vivienda,sabana_centro,Chia,Rural,La Balsa,5,3,2,1,4,5,0,4,2,2,1,3,4
2024,abril,2,Punto,sabana_centro,Chia,Rural,Fonqueta,10,6,4,9,1,10,0,13,8,5,13,0,13
2024,abril,2,Vivienda,sabana_centro,Chia,Rural,La Balsa,2,1,1,2,0,2,0,0,0,0,0,0,0
2024,abril,2,Punto,sabana_centro,Chia,Rural,Fonqueta,3,3,0,2,1,3,0,0,0,0,0,0,0
2024,abril,4,Vivienda,sabana_centro,Chia,Rural,La Balsa,4,2,2,2,2,4,0,0,0,0,0,0,0
2024,abril,1,Vivienda,sabana_centro,Chia,Rural,fagua,12,4,8,9,3,12,0,0,0,0,0,0,0
2024,abril,2,Vivienda,sabana_centro,Chia,Rural,fagua,32,19,13,23,9,32,0,2,1,1,2,0,2
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,1,0,1,1,0,1,0,0,0,0,0,0,0
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,1,0,1,0,1
2024,abril,3,Vivienda,sabana_centro,Chia,Rural,Fonqueta,2,2,0,0,2,2,0,0,0,0,0,0,0
2024,abril,2,Vivienda,sabana_centro,Chia,Urbano,Otro,16,11,5,3,13,16,0,3,2,1,1,2,3
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Otro,14,9,5,3,11,14,0,5,1,4,4,1,5
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Otro,15,7,8,6,9,15,0,5,1,4,4,1,5
2024,abril,4,Vivienda,sabana_centro,Chia,Urbano,Otro,12,3,9,9,3,12,0,9,5,4,5,4,9
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Otro,5,3,2,1,4,5,0,4,3,1,2,2,4
2024,abril,4,Vivienda,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,0,1,1,0,1
2024,abril,4,Vivienda,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,1,0,0,1,1
2024,abril,4,Vivienda,sabana_centro,Chia,Urbano,Centro,1,0,1,1,0,1,0,1,1,0,1,0,1
2024,abril,5,Vivienda,sabana_centro,Chia,Urbano,Centro,1,1,0,0,1,1,0,0,0,0,0,0,0
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Centro,1,0,1,1,0,1,0,0,0,0,0,0,0
2024,abril,4,Vivienda,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,0,1,0,1,1
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Centro,1,0,1,1,0,1,0,0,0,0,0,0,0
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Centro,1,0,1,0,1,1,0,0,0,0,0,0,0
2024,abril,4,Vivienda,sabana_centro,Chia,Urbano,Centro,1,1,0,0,1,1,0,0,0,0,0,0,0
2024,abril,5,Vivienda,sabana_centro,Chia,Urbano,Centro,2,1,1,1,1,2,0,1,1,0,1,0,1
2024,abril,4,Vivienda,sabana_centro,Chia,Urbano,Centro,1,1,0,1,0,1,0,0,0,0,0,0,0
2024,abril,5,Vivienda,sabana_centro,Chia,Urbano,Centro,1,1,0,1,0,1,0,0,0,0,0,0,0
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Samaria,1,0,1,1,0,1,0,0,0,0,0,0,0
2024,abril,4,Vivienda,sabana_centro,Chia,Urbano,Centro,1,1,0,0,1,1,0,0,0,0,0,0,0
2024,abril,4,Vivienda,sabana_centro,Chia,Urbano,Centro,2,0,2,1,1,2,0,1,1,0,0,1,1
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Centro,1,0,1,1,0,1,0,0,0,0,0,0,0
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Centro,1,1,0,1,0,1,0,0,0,0,0,0,0
2024,abril,5,Vivienda,sabana_centro,Chia,Urbano,Centro,1,1,0,1,0,1,0,0,0,0,0,0,0
2024,abril,5,Vivienda,sabana_centro,Chia,Urbano,Samaria,1,0,1,1,0,1,0,0,0,0,0,0,0
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Samaria,1,0,1,0,1,1,0,0,0,0,0,0,0
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Samaria,1,1,0,1,0,1,0,1,1,0,1,0,1
2024,abril,4,Vivienda,sabana_centro,Chia,Urbano,Samaria,1,0,1,1,0,1,0,0,0,0,0,0,0
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Samaria,1,0,1,1,0,1,0,1,0,1,1,0,1
2024,abril,2,Vivienda,sabana_centro,Chia,Urbano,Samaria,0,0,0,0,0,0,0,1,0,1,0,1,1
2024,abril,4,Vivienda,sabana_centro,Chia,Urbano,Samaria,1,1,0,1,0,1,0,0,0,0,0,0,0
2024,abril,4,Vivienda,sabana_centro,Chia,Urbano,Samaria,0,0,0,0,0,0,0,2,1,1,2,0,2
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Samaria,0,0,0,0,0,0,0,2,2,0,2,0,2
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,1,1,0,1,0,1,0,0,0,0,0,0,0
2024,abril,4,Punto,sabana_centro,Chia,Urbano,Centro,1,1,0,0,1,1,0,0,0,0,0,0,0
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,4,1,3,4,0,4,0,0,0,0,0,0,0
2024,abril,4,Punto,sabana_centro,Chia,Urbano,Centro,1,1,0,0,1,1,0,0,0,0,0,0,0
2024,abril,4,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,0,1,1,0,1
2024,abril,5,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,2,1,1,2,0,2
2024,abril,4,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,1,0,0,1,1
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,1,0,1,0,1
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,1,0,0,1,1
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,0,1,1,0,1
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,1,0,1,0,1,1,0,1,0,1,1,0,1
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,1,0,1,1,0,1,0,0,0,0,0,0,0
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,1,0,1,1,0,1,0,0,0,0,0,0,0
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,1,1,0,0,1,1,0,0,0,0,0,0,0
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,3,2,1,1,2,3,0,0,0,0,0,0,0
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,1,1,0,0,1,1,0,0,0,0,0,0,0
2024,abril,4,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,1,0,0,1,1
2024,abril,4,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,3,0,3,3,0,3
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,1,1,0,0,1,1,0,0,0,0,0,0,0
2024,abril,4,Punto,sabana_centro,Chia,Urbano,Centro,2,1,1,2,0,2,0,0,0,0,0,0,0
2024,abril,4,Punto,sabana_centro,Chia,Urbano,Centro,2,1,1,2,0,2,0,0,0,0,0,0,0
2024,abril,4,Punto,sabana_centro,Chia,Urbano,Centro,1,1,0,0,1,1,0,0,0,0,0,0,0
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,1,0,1,0,1,1,0,0,0,0,0,0,0
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,2,1,1,2,0,2,0,0,0,0,0,0,0
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,2,1,1,2,0,2,0,0,0,0,0,0,0
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,0,1,1,0,1
2024,abril,4,Punto,sabana_centro,Chia,Urbano,Centro,1,0,1,0,1,1,0,0,0,0,0,0,0
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,2,2,0,2,0,2
2024,abril,4,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,2,0,2,0,2,2
2024,abril,4,Punto,sabana_centro,Chia,Urbano,Centro,1,0,1,1,0,1,0,0,0,0,0,0,0
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,1,0,1,0,1,1,0,0,0,0,0,0,0
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,1,0,1,0,1
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,1,1,0,1,0,1,0,0,0,0,0,0,0
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,1,0,1,0,1
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,1,1,0,1,0,1,0,1,1,0,1,0,1
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,1,1,0,0,1,1,0,0,0,0,0,0,0
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,1,0,1,0,1,1,0,0,0,0,0,0,0
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,1,0,1,1,0,1,0,1,1,0,1,0,1
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,1,0,1,0,1,1,0,0,0,0,0,0,0
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,1,1,0,1,0,1,0,0,0,0,0,0,0
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,1,1,0,0,1,1,0,0,0,0,0,0,0
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,1,0,1,0,1
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,1,1,0,1,0,1,0,1,1,0,1,0,1
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,0,1,1,0,1
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,3,2,1,3,0,3,0,2,2,0,2,0,2
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,0,1,1,0,1
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,1,0,1,0,1
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,1,0,1,0,1
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,1,0,1,0,1
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,1,0,1,0,1
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,1,0,1,0,1
2024,abril,5,Punto,sabana_centro,Chia,Urbano,Centro,4,1,3,4,0,4,0,0,0,0,0,0,0
2024,abril,5,Punto,sabana_centro,Chia,Urbano,Centro,2,1,1,1,1,2,0,0,0,0,0,0,0
2024,abril,4,Punto,sabana_centro,Chia,Urbano,Centro,2,1,1,1,1,2,0,0,0,0,0,0,0
2024,abril,4,Punto,sabana_centro,Chia,Urbano,Centro,1,0,1,0,1,1,0,0,0,0,0,0,0
2024,abril,4,Punto,sabana_centro,Chia,Urbano,Centro,1,1,0,1,0,1,0,0,0,0,0,0,0
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,1,0,1,0,1
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,2,0,2,2,0,2
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,1,1,0,0,1,1,0,0,0,0,0,0,0
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,1,0,1,1,0,1,0,0,0,0,0,0,0
2024,abril,4,Punto,sabana_centro,Chia,Urbano,Centro,1,0,1,0,1,1,0,0,0,0,0,0,0
2024,abril,4,Punto,sabana_centro,Chia,Urbano,Centro,1,0,1,1,0,1,0,0,0,0,0,0,0
2024,abril,4,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,0,1,1,0,1
2024,abril,4,Punto,sabana_centro,Chia,Urbano,Centro,1,1,0,0,1,1,0,0,0,0,0,0,0
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,0,1,1,0,1
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,1,0,1,0,1
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,1,0,1,1,0,1,0,0,0,0,0,0,0
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,3,2,1,1,2,3,0,0,0,0,0,0,0
2024,abril,4,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,0,1,1,0,1
2024,abril,4,Punto,sabana_centro,Chia,Urbano,Centro,1,1,0,1,0,1,0,0,0,0,0,0,0
2024,abril,4,Punto,sabana_centro,Chia,Urbano,Centro,1,0,1,1,0,1,0,0,0,0,0,0,0
2024,abril,3,Vivienda,sabana_centro,Chia,Rural,Cerca de pedra,1,1,0,0,1,1,0,1,1,0,0,1,1
2024,abril,3,Vivienda,sabana_centro,Chia,Rural,Cerca de pedra,1,0,1,1,0,1,0,0,0,0,0,0,0
2024,abril,6,Vivienda,sabana_centro,Chia,Rural,Cerca de pedra,1,0,1,1,0,1,0,0,0,0,0,0,0
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Otro,6,2,4,5,1,6,0,9,5,4,6,3,9
2024,abril,5,Vivienda,sabana_centro,Chia,Urbano,Otro,12,5,7,5,7,12,0,8,5,3,5,3,8
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Otro,16,10,6,7,9,16,0,5,2,3,1,4,5
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Otro,15,10,5,10,5,15,0,7,3,4,7,0,7
2024,abril,4,Vivienda,sabana_centro,Chia,Urbano,Otro,7,6,1,3,4,7,0,6,1,5,6,0,6
2024,abril,4,Punto,sabana_centro,Chia,Urbano,Centro,1,1,0,0,1,1,0,0,0,0,0,0,0
2024,abril,4,Vivienda,sabana_centro,Chia,Urbano,Centro,3,1,2,3,0,3,0,1,0,1,1,0,1
